Node,x,y
112,462.8383942,179.2399902
113,405.454408,401.8168036
114,424.4555969,263.428009
115,439.2987976,210.776001
116,455.3455963,229.1199951
117,417.8524017,241.1000061
118,405.1600037,467.0235901
119,498.1867981,345.2012024
120,414.5876007,225.8039856
121,454.9568024,343.2479858
122,433.2767944,477.8047943
123,410.4743958,508.5003967
124,417.6555939,389.6380005
125,414.4344025,446.6755981
126,394.7088013,400.9855957
127,469.8511963,261.7479858
128,433.0171967,192.2520142
129,391.9976044,390.2723999
130,422.7223969,210.0400085
131,420.8932037,454.4455872
132,489.6300049,180.0640259
133,366.8480072,739.7876759
134,366.7640076,732.3696356
135,317.171204,757.3177556
136,311.2460022,741.312315
137,354.1436005,718.5385836
138,367.288804,750.7446916
139,365.1040039,745.9895554
140,361.7263947,751.9908752
141,351.7216034,732.7541552
142,361.3643951,725.3605957
143,364.8507996,724.8350754
144,360.066803,713.7079954
145,362.4956055,717.0232637
146,360.8307953,720.0965636
147,331.3504028,718.7623396
148,359.1732025,742.4609165
149,342.285202,730.9463558
150,349.5364075,734.6844358
151,346.6920013,744.0697556
152,329.0039978,729.556076
153,352.2711945,743.8626747
154,347.6688004,741.1591148
155,332.206,758.0796356
156,245.4289207,729.0453958
157,269.4128,713.4583156
158,264.6403999,702.1841164
159,242.4207592,718.8408516
160,258.2287598,716.0551395
161,249.4473209,710.192956
162,239.58424,712.4089556
163,241.0455608,703.8028355
164,256.0271606,748.5606747
165,245.2679195,741.9059963
166,239.9040794,752.8967972
167,245.8970795,749.7558365
168,249.4498405,735.4213152
169,253.7608414,737.483675
170,258.5593185,754.9841957
171,262.7840004,748.788435
172,268.1904,753.6064756
173,246.3094807,732.7926359
174,240.0619602,747.3063564
175,271.6651993,740.3367558
176,257.030201,769.2295952
177,273.926,728.2424356
178,363.0323944,762.5267944
179,367.404007,760.4167938
180,357.6880035,754.7979965
181,355.5075989,759.921196
182,355.5,762.6099968
183,358.871994,762.2719955
184,355.7588043,751.9502373
185,244.6624393,724.5260358
186,424.7575989,737.3491154
187,423.6056061,737.445755
188,421.836808,737.3232756
189,422.5496063,741.2808762
190,424.7955933,730.9568758
191,429.520004,773.5979956
192,424.5312042,774.5767975
193,423.9192047,763.3403969
194,420.133332,753.7902196
195,428.5384064,750.2473164
196,434.5216064,759.4609146
197,423.4635925,748.0789547
198,425.158004,746.5751156
199,413.415208,766.6523956
200,417.994796,763.8202196
201,425.695556,768.4535516
202,416.8583984,747.9460354
203,414.7595978,756.3958359
204,430.2388,772.6587956
205,429.8444061,758.2483139
